horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
E471,12/03/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,11/03/2023,快操,從化,全天候,從化 全天候,,55.8,55.8,30.0 25.8,,助手,,快操,H,30.0 25.8 (55.8) (助手)
E471,11/03/2023,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
E471,10/03/2023,游水,從化,,從化,,,,,,,,游水,,
E471,10/03/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,09/03/2023,游水,從化,,從化,,,,,,,,游水,,
E471,09/03/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快一圈,H,內圈 倒快一圈 (助手)
E471,08/03/2023,游水,從化,,從化,,,,,,,,游水,,
E471,08/03/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,07/03/2023,游水,從化,,從化,,,,,,,,游水,,
E471,07/03/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,06/03/2023,游水,從化,,從化,,,,,,,,游水,,
E471,06/03/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快一圈,H,內圈 倒快一圈 (助手)
E471,05/03/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,01/03/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,01/03/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,28/02/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,28/02/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,27/02/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,27/02/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快一圈,H,內圈 倒快一圈 (助手)
E471,26/02/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,26/02/2023,快操,沙田,全天候,沙田 全天候,,55.0,55.0,29.6 25.4,,助手,,醒臣,H,29.6 25.4 (55.0) (助手) 醒臣
E471,26/02/2023,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
E471,25/02/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,24/02/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,23/02/2023,快操,從化,草地,從化 草地,,53.0,53.0,28.6 24.4,,副練馬師,,喜報,B,28.6 24.4 (53.0) (副練馬師) 喜報
E471,23/02/2023,踱步,從化,飛機場,從化 飛機場,,,,,,副練馬師,,踱步,B,飛機場 踱步 (副練馬師)
E471,22/02/2023,游水,從化,,從化,,,,,,,,游水,,
E471,22/02/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,21/02/2023,游水,從化,,從化,,,,,,,,游水,,
E471,21/02/2023,踱步,從化,內圈,從化 內圈,,,,,,副練馬師,,快踱一圈,H,內圈 快踱一圈 (副練馬師)
E471,20/02/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
E471,18/02/2023,快操,從化,草地,從化 草地,,56.9,56.9,30.0 26.9,,助手,,快操,,30.0 26.9 (56.9) (助手)
E471,18/02/2023,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
E471,17/02/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,16/02/2023,游水,從化,,從化,,,,,,,,游水,,
E471,16/02/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
E471,15/02/2023,快操,從化,全天候,從化 全天候,,56.8,56.8,30.3 26.5,,副練馬師,,快操,H,30.3 26.5 (56.8) (副練馬師)
E471,15/02/2023,踱步,從化,飛機場,從化 飛機場,,,,,,副練馬師,,踱步,H,飛機場 踱步 (副練馬師)
E471,14/02/2023,游水,從化,,從化,,,,,,,,游水,,
E471,14/02/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,13/02/2023,游水,從化,,從化,,,,,,,,游水,,
E471,13/02/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
