trial_date,group_no,trial_venue,distance_m,going,group_time,group_sectional_times
10/01/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
10/01/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
10/01/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
10/01/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
09/01/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
09/01/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
09/01/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
09/01/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
08/01/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
08/01/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
08/01/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
08/01/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
06/01/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
06/01/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
06/01/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
06/01/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
02/01/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
02/01/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
02/01/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
02/01/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
30/12/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
30/12/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
30/12/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
30/12/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
29/12/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
29/12/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
29/12/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
29/12/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
25/12/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
25/12/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
25/12/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
25/12/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
22/12/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
22/12/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
22/12/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
22/12/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
19/12/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
19/12/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
19/12/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
19/12/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
18/12/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
18/12/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
18/12/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
18/12/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
16/12/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
16/12/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
16/12/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
16/12/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
15/12/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
15/12/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
15/12/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
15/12/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
11/12/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
11/12/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
11/12/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
11/12/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
09/12/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
09/12/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
09/12/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
09/12/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
05/12/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
05/12/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
05/12/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
05/12/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
04/12/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
04/12/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
04/12/2025,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
04/12/2025,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
02/12/2025,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
02/12/2025,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
